id,url_amazon,category,name,description,image
11,https://www.amazon.ca/dp/B0D846VMP2,Grounding,"GAYA Grounding Mat for Feet, Earthing Mat for Sleep Improvement, Back Pain Relief, Muscle Relaxation & Stress Relief, Grounding Pads for Bed, Grounding Mats for Desk, Earth Grounding Pad (24''X16'')","ACHIEVE DEEP SLEEP AND PAIN RELIEF: Experience improved sleep, pain relief, and muscle relaxation with our 24x16 inches (40x60 cm) Grounding Mat. Perfect for a restful night on your bed grounding mat.
SAFE & TESTED - 100K OHM RESISTOR: Built-in resistor protects against electrical surges for safe daily use. Premium 3-layer construction: skin-friendly PU top, conductive carbon center, non-slip base. Quality-tested for reliable grounding performance. Designed for daily, long-term use",GroundingMatforFeet.jpg
12,https://www.amazon.ca/dp/B0DGG9SY5Y,Grounding,"Grounding Mat Cotton EMF Grounding Anti-Slip Mat Grounding Sleep Sheet with 15ft Earth Mat Cloud Bedding Pad for Stress Relief (Grey, 34.2x50 in)","High Quality: This cotton mat, grounding pad is crafted from cotton, embedded with 5% silver fibers and crafted through a quilting process. It offers a softer, skin-friendly, and more comfortable experience than traditional grounding mats.
Multi-functional: This grounding mat is versatile and can be placed on your bed, floor, sofa, and more. It is available in two sizes, with the 34.2*50 IN version doubling as a grounding blanket. EMF Grounding Anti-Slip Mat Pad,Grounding Sleep Sheet with 15ft. Additionally, it serves as a comfortable quilt during the hot summer months.",GroundingMatCottonEMF.jpg
13,https://www.amazon.ca/dp/B07VSRK68V,Grounding,"Hooga Grounding Mat for Sleep, Energy & Pain Relief – 24"" x 16"" Conductive Carbon Pad with 15ft Grounding Cord – Indoor Earth Connection for Inflammation & Recovery","Experience the Benefits of Grounding: Hooga grounding mat helps you reconnect with the Earth’s natural energy, promoting improved sleep, reduced pain, increased energy, and overall wellness through natural grounding technology.",HoogaGroundingMat.jpg
14,https://www.amazon.ca/dp/B0DH79WW6X,Grounding,"Grounding Mat for Bed (King/Queen/Full/Twin) - Earthing Grounding Pad, Soft Breathable Conductive Carbon Sleep Mat, Better Sleep & Muscle Relaxation, Anti-Slip Durable, Easy Setup, Gift Box Included","SLEEP BETTER & WAKE REFRESHED - ALL BED SIZES: Soft breathable earthing mat available in King (76x27""), Queen (60x27""), Full (54x27""), Twin (38x27""). Use under fitted sheet or on top. Customers report falling asleep faster and waking without muscle soreness.",GroundingMatforBed(King_Queen_Full_Twin).jpg
15,https://www.amazon.ca/dp/B0DS57S2J1,Grounding,"Grounding Bed Sheets with Silver Threads and Deep Pockets, Queen & King - Extra Soft 95% Organic Cotton 5% Pure Silver, Improve Sleep & Reduce Stress Earthing Sheets, Grounding Sheets","BETTER SLEEP & NATURAL HEALING – Experience deeper sleep, reduced stress, and improved circulation with GAYA Grounding Sheets. Designed to reconnect you to the Earth’s natural energy, our grounding bed sheets promote overall well-being.",GroundingBedSheets.jpg
16,https://www.amazon.ca/dp/B0H26WGM34,Grounding,"Grounding Sheets King Size Deep Pocket 12% Silver Fiber 88% Organic Cotton, Grounding Fitted Earth Sheets with Grounding Cord (Gray, King - 78""x80""x15"")","High-Quality Materials: The grounding sheets are made of organic cotton and silver fiber. Both silver and cotton are pure natural materials. The two materials are blended according to a certain ratio. They have good conductivity and are very soft and comfortable, and are very skin-friendly. The interlaced silver fibers can maximize the contact area between the skin and the conductive fibers.",GroundingSheetsKingSize.jpg
17,https://www.amazon.ca/dp/B0DG363GG1,Grounding,"Hike Footwear Theora Pro - Ergonomic Supportive & Non-Slip Barefoot Shoes, Wide Toe Box & Durable Sole, Breathable Ultralight, Walking, Hiking, Zero Drop Shoes for Women Men (Unisex)","Size Matters (And We Mean It!): Don't guess—watch our quick video for foolproof, step-by-step measuring instructions. Get the perfect fit, not a size surprise!
Natural Gait: With every step, Theora Pro shoes strengthen your foot and leg muscles. Experience reduced body aches and support your journey to recovery from issues like plantar fasciitis.",GroundingShoes.jpg
18,https://www.amazon.ca/dp/B0G2H2WDG4,Grounding,Hike Footwear Comforto Max – Ultra-Stretching & Soft Barefoot Shoes | Lightweight Non-Slip & Zero-Drop Sole Summer Boots | Minimalist Comfortable Walking Shoes for Women Men,"Wide Toe Box for Natural Toe Splay – Allows your toes to spread freely for better balance, improved stability, and reduced pressure on the forefoot. Ideal for bunions, swelling, and sensitive feet.
Zero-Drop Sole – Keeps the heel and forefoot on the same level, encouraging proper posture from the feet up. By aligning your spine and distributing pressure evenly, it can help relieve tension in the knees, hips, and lower back—especially useful for aging joints.",GroundingShoes2.jpg
19,https://www.amazon.ca/dp/B0GRW9PFQH,Grounding,"Grounding Shoes with Copper,Waterproof Non-Slip Comfort Hike Shoe, Copper Hike Barefoot Shoes for Women Men","【Spacious Toe Box, Comfortable Fit】: Our features an enlarged toe box for ultimate comfort and freedom. The grounding barefoot shoes accommodate various foot shapes and sizes, providing an ergonomic fit that allows your toes to spread naturally and reduces pressure points.【Quick-drying, Water-repellent, Free to Walk】: The Hike Shoes Footwear Barefoot Womens innovative bottom drainage hole design can quickly drain the water in the shoe, keeping your feet dry and comfortable. The grounding shoes for women unique porous drainage system allows you to enjoy a true amphibious experience whether you are exploring streams, strolling on the beach, or traveling on rainy days",GroundingShoes3.jpg
20,https://www.amazon.ca/dp/B0F99C4X2G,Radon,"HOUND-1011 Portable Radon Detector for Home, Lightweight, High-Accuracy Sensor, 45-Day Monitoring, Easy-to-Use Radon Tester for Short- & Long-Term in pCi/L or Bq/m³, for Basement – Gray","Portable Radon Detector: AEGTEST HOUND-1011 is a compact, portable radon detector for continuous monitoring. It measures radon levels from 0.09 to 1000 pCi/L, supports switching between pCi/L and Bq/m³ units, ensuring reliable protection against harmful radon gas",HOUND-1011_PortableRadonDetector.jpg
21,https://www.amazon.ca/dp/B07WWV7K3K,Radon,Airthings Wave Radon - Smart Radon Detector with Humidity & Temperature Sensor – Easy-to-Use – Accurate – No Lab Fees – Battery Operated - Free App,"RADON DETECTOR: Radon is the number one cause of lung cancer among non-smokers and kills more than 6x the number of people than home fires and carbon monoxide poisoning combined
CONTINUOUS MONITORING: Radon gas fluctuates daily and is highly dependent on many factors such as weather conditions. Long-term monitoring is crucial to take control, understand long-term exposure and minimize potential health effects",AirthingsWaveRadon-SmartRadonDetector.jpg
22,https://www.amazon.ca/dp/B0F84C4ZZM,Radon,Airthings 325 Corentium Home 2 Smart Digital Radon Detector - Portable and Easy-to-use Radon Testing with Bluetooth connectivity and Humidity & Temperature Sensors,"THE ORIGINAL RADON DETECTOR, UPDATED: The same proven accuracy as the best-selling original Corentium Home, now with Bluetooth connectivity and bonus temp and humidity sensors.",Airthings325SmartDigitalRadonDetector.jpg
23,https://www.amazon.ca/dp/B09SQ64K7Q,Radon,"Airthings View Radon 2989 - Radon Monitor (Radon, Humidity, Temp) with WiFi & Calm Tech Display","Health Canada estimates that about 16% of lung cancer deaths are related to being exposed to radon in the home. Radon exposure is the leading cause of lung cancer in non-smokers
NEW RADON SENSOR TECHNOLOGY: our most accurate, robust and sustainably-designed radon sensor, also measuring humidity and temperature",AirthingsViewRadon2989-RadonMonitor.jpg
24,https://www.amazon.ca/dp/B08BLJM28J,EMF,"ERICKHILL EMF Meter, Rechargeable Digital Electromagnetic Field Radiation Detector Hand-held Digital LCD EMF Detector, Great Tester for Home EMF Inspections, Office, Ghost Hunting (RF Not Included)","PRECISE MEASUREMENT: Equipped with a built-in electromagnetic radiation sensor, which can display the radiation value on the clear LCD digital display after processing by a control micro-chip.(Please use the front sensing area to slowly approach the electromagnetic radiation source to be measured. The effective/optimal measurement range is 0-30cm)Testing magnetic field radiation with optional units mG/uT, and the electric field with unitV/m.This EMF meter can not test the RF value.",ERICKHILL_EMF_Meter.jpg
25,https://www.amazon.ca/dp/B078T2R64C,EMF,TriField EMF Meter Model TF2,"Detects: Magnetic fields, electric fields, and RF (20 MHz–6 GHz; includes most 5G but not experimental millimeter waves). Does not detect radioactivity.
Displays: Average field signal and peak levels, plus pulse indicator bar in the upper left for RF monitoring
Measures: 4G and 5G cell phones, cell towers, WiFi routers, Bluetooth, AC Powerlines, and Smart Meters",TriFieldEMF_TF2.jpg
26,https://www.amazon.ca/dp/B0D9N6KP72,EMF,"3 in 1 Rechargeable EMF Meter, Digital Electromagnetic Field Radiation Detector Portable Hand-held 2'' LCD EMF Detector for Home EMF Inspections, Office, Outdoor, Ghost Hunting","【3 IN 1 Precise Measurement】The EMF meter detector has built-in electromagnetic radiation sensor, which can display the radiation value on a clear LCD digital display by controlling the microchip. It can not only measures electric and magnetic fields, but also keenly measure the temperature in the environment",RechargeableEMFMeter.jpg
27,https://www.amazon.ca/dp/B000NBDTQI,Outlet Tester,Gardner Bender GRT-3500 Standard Outlet Tester,"Makes quick work out of any electrical project
Compact ergonomic design
Neon lamps indicate 6 common wiring conditions
Tests standard 3-prong outlets
Tests standard outlets, and extension cords",OutletTester.jpg
